Phase,Tuning Option,Current Setting,Summary
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PHASE 00 — IndexLab Harness & Event Stream,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Phase 00,RUNTIME_TRACE_ENABLED,true (env: RUNTIME_TRACE_ENABLED),[Backend + GUI: read-only] Master switch for runtime tracing. When enabled the runtime bridge writes fetch/LLM/parse events to NDJSON log and pushes them over WebSocket to the GUI. Disabling silences the entire event stream including all 17 GUI panels.
Phase 00,RUNTIME_TRACE_FETCH_RING,30 (env: RUNTIME_TRACE_FETCH_RING),[Backend only — no GUI control] Size of the circular buffer that holds the most recent fetch events in memory. The GUI Event Stream panel reads from this ring. Larger values keep more history in RAM; smaller values reduce memory footprint. Not exposed in any GUI panel.
Phase 00,RUNTIME_TRACE_LLM_RING,50 (env: RUNTIME_TRACE_LLM_RING),[Backend only — no GUI control] Size of the circular buffer for LLM call events. The LLM Output and LLM Metrics panels consume this ring. Controls how many recent LLM interactions are kept in memory for GUI display. Not exposed in any GUI panel.
Phase 00,RUNTIME_TRACE_LLM_PAYLOADS,true (env: RUNTIME_TRACE_LLM_PAYLOADS),[Backend only — no GUI control] When true the full LLM request/response payloads (prompt text + completion text) are captured in the trace ring and written to NDJSON. Useful for debugging but increases memory usage and log size significantly. Not exposed in any GUI panel.
Phase 00,RUNTIME_CONTROL_FILE,_runtime/control/runtime_overrides.json (env: RUNTIME_CONTROL_FILE),[Backend only — no GUI control] Path to the JSON file that holds runtime override values. The pipeline polls this file to pick up hot-reload config changes without restarting. Not exposed in any GUI panel.
Phase 00,EVENTS_JSON_WRITE,true (env: EVENTS_JSON_WRITE),[Backend only — no GUI control] Dual-write flag for events. When true events are written to both SQLite and JSON (NDJSON). This is the only dual-write flag that defaults to true — all others default to false. Turning it off would stop NDJSON event file creation.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PHASE 01 — NeedSet Engine & Field State,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Phase 01,REQUIRED_WEIGHT — identity,5 (hardcoded in needsetEngine.js),[Hardcoded — no control] Weight multiplier for identity-level fields (brand/model/variant) in the NeedSet score formula. Identity fields get the highest multiplier because incorrect identity makes all other fields meaningless. Formula: need = missing_multiplier × conf_term × REQUIRED_WEIGHT × tier_deficit × min_refs_deficit × conflict_multiplier.
Phase 01,REQUIRED_WEIGHT — critical,4 (hardcoded in needsetEngine.js),[Hardcoded — no control] Weight multiplier for critical-level fields in the NeedSet formula. Critical fields are essential specs like sensor type or switch type that define the product's key characteristics.
Phase 01,REQUIRED_WEIGHT — required,2 (hardcoded in needsetEngine.js),[Hardcoded — no control] Weight multiplier for required-level fields in the NeedSet formula. Required fields are important specs that should be filled but are not identity-defining.
Phase 01,REQUIRED_WEIGHT — expected,1 (hardcoded in needsetEngine.js),[Hardcoded — no control] Weight multiplier for expected-level fields in the NeedSet formula. Expected fields are commonly available specs that are nice to have.
Phase 01,REQUIRED_WEIGHT — optional,1 (hardcoded in needsetEngine.js),[Hardcoded — no control] Weight multiplier for optional-level fields in the NeedSet formula. Optional fields have the lowest priority and get the base multiplier.
Phase 01,missing_multiplier,2.0 (hardcoded in needsetEngine.js),[Hardcoded — no control] NeedSet formula component. Applied when a field has no value (missing/unknown). Doubles the need score for empty fields to prioritize them in search. A higher value would make the engine more aggressive about filling empty fields.
Phase 01,tier_deficit_multiplier,2.0 when tier_preference includes 1 AND best_tier_seen > 1 (hardcoded),[Hardcoded — no control] NeedSet formula component. Kicks in when a field wants Tier 1 evidence but only has Tier 2+ evidence. Doubles the need score to push the engine toward manufacturer sources. Set to 1.0 when tier preference is satisfied.
Phase 01,min_refs_deficit_multiplier,1.5 when refs_found < min_refs (hardcoded),[Hardcoded — no control] NeedSet formula component. Applied when a field has fewer evidence references than its minimum policy requires. Increases need by 50% to drive additional source discovery. Set to 1.0 when min_refs is met.
Phase 01,conflict_multiplier,1.5 when conflict detected (hardcoded),[Hardcoded — no control] NeedSet formula component. Applied when multiple sources disagree on a field value. Increases need by 50% to drive tiebreaker evidence gathering. A higher value would make the engine more aggressive about resolving conflicts.
Phase 01,NEEDSET_EVIDENCE_DECAY_DAYS,14 (env: NEEDSET_EVIDENCE_DECAY_DAYS),"[Backend only — no GUI control] Half-life in days for evidence freshness decay. Evidence older than this many days has its effective confidence halved using exponential decay: effective_conf = conf × max(floor, 2^(-age/halfLife)). Controls how quickly old evidence loses influence on NeedSet scores."
Phase 01,NEEDSET_EVIDENCE_DECAY_FLOOR,0.30 (env: NEEDSET_EVIDENCE_DECAY_FLOOR),[Backend only — no GUI control] Minimum decay multiplier floor. Even very old evidence never drops below 30% of its original confidence. Prevents ancient but valid evidence from being completely ignored. Range: 0-1.
Phase 01,NEEDSET_CAP_IDENTITY_LOCKED,1.00 (env + GUI: Pipeline Settings slider 0.5-1.0),[GUI: Pipeline Settings → NeedSet Identity Caps → Locked] Maximum effective NeedSet score when identity is locked (confirmed). At 1.00 there is no cap — all fields can reach full need priority. Lowering this would artificially suppress need for fields when identity is confirmed.
Phase 01,NEEDSET_CAP_IDENTITY_PROVISIONAL,0.74 (env + GUI: Pipeline Settings slider 0.5-0.9),[GUI: Pipeline Settings → NeedSet Identity Caps → Provisional] Maximum NeedSet score when identity is provisional (70-95% confidence). Caps non-identity field priority to 0.74 until identity is fully confirmed. This prevents the engine from aggressively filling specs when it's not yet sure it has the right product.
Phase 01,NEEDSET_CAP_IDENTITY_CONFLICT,0.39 (env + GUI: Pipeline Settings slider 0.2-0.6),[GUI: Pipeline Settings → NeedSet Identity Caps → Conflict] Maximum NeedSet score when identity is in conflict state. Severely restricts non-identity field filling to 0.39 when multiple sources disagree about the product's identity. Forces the engine to resolve identity first before filling specs.
Phase 01,NEEDSET_CAP_IDENTITY_UNLOCKED,0.59 (env + GUI: Pipeline Settings slider 0.3-0.8),[GUI: Pipeline Settings → NeedSet Identity Caps → Unlocked] Maximum NeedSet score when identity has not been established at all. Moderately restricts field filling to 0.59 until at least some identity evidence arrives. Balances early-round exploration with identity-first priority.
Phase 01,Identity Lock Threshold,0.95 (hardcoded in needsetEngine.js),[Hardcoded — no control] Confidence threshold at which identity status transitions from provisional to locked. When identity confidence >= 0.95 and the gate is validated the status becomes 'locked' and all field caps are removed. Lowering this would lock identity earlier but risk false positives.
Phase 01,Identity Provisional Threshold,0.70 (hardcoded in needsetEngine.js),[Hardcoded — no control] Confidence threshold at which identity status transitions from unlocked to provisional. When identity confidence >= 0.70 the engine enters provisional mode allowing moderate field filling. Below 0.70 the engine is in 'unlocked' state with heavily restricted field access.
Phase 01,DEFAULT_IDENTITY_AUDIT_LIMIT,24 (hardcoded in needsetEngine.js),[Hardcoded — no control] Maximum number of rows shown in the identity audit context. Limits how many identity evidence rows are passed to downstream consumers for display/debugging. Increasing this shows more identity evidence in traces.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PHASE 02 — SearchProfile & Alias Planning,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Phase 02,LLM_PLAN_DISCOVERY_QUERIES,false (env + GUI: Indexing → Planner LLM Enabled toggle),[GUI: Indexing Runtime → Planner LLM toggle] Master switch for the Phase 02 LLM search planner. When enabled the LLM generates additional search queries beyond deterministic aliases — including doc_hint_queries (spec/manual/pdf hints) and field_target_queries (queries targeting specific missing fields). When disabled only deterministic brand+model alias variants are used.
Phase 02,LLM_MODEL_PLAN,(env + GUI: Indexing → Planner Model dropdown),[GUI: Indexing Runtime → Planner Model dropdown] Selects which LLM model is used for search query planning. Dropdown is populated dynamically from available models. Prefers Gemini models for cost efficiency. Disabled when planner LLM is off.
Phase 02,LLM_MAX_OUTPUT_TOKENS_PLAN,1200 (env + GUI: Indexing → Planner Max Tokens dropdown),[GUI: Indexing Runtime → Planner Max Tokens dropdown] Maximum output tokens the planner LLM can generate per call. Controls how many search queries the LLM can propose in a single response. Uses preset dropdown values (256-8192). Capped to model maximum. Higher values allow more query suggestions but cost more.
Phase 02,LLM_PLAN_FALLBACK_MODEL,(env: LLM_PLAN_FALLBACK_MODEL),[Backend only — no GUI control] Fallback model used when the primary plan model fails or is unavailable. Part of the multi-provider failover chain. If empty no fallback is attempted and the planning call fails.
Phase 02,LLM_PLAN_PROVIDER,(env: LLM_PLAN_PROVIDER),[Backend only — no GUI control] Separate LLM provider for planning calls (e.g. 'gemini' vs 'openai'). Allows routing planning to a cheaper provider while using a more capable one for extraction. Inherits from LLM_PROVIDER if not set.
Phase 02,LLM_PLAN_BASE_URL,(env: LLM_PLAN_BASE_URL),[Backend only — no GUI control] Base URL for the planning LLM provider endpoint. Allows pointing planning at a different API server (e.g. a local model or different cloud endpoint). Inherits from LLM_BASE_URL if not set.
Phase 02,LLM_PLAN_API_KEY,(env: LLM_PLAN_API_KEY),[Backend only — no GUI control] API key for the planning LLM provider. Allows using a separate billing account for planning calls. Inherits from LLM_API_KEY if not set.
Phase 02,Deterministic Alias Cap,6 slugs (hardcoded in searchDiscovery.js buildModelSlugCandidates),[Hardcoded — no control] Maximum number of model slug candidates generated deterministically from the product name (spacing/hyphen/case variants). Limits explosion of alias combinations. The planner LLM can add more aliases on top of these.
Phase 02,LLM Alias Validation Cap,12 (hardcoded validation gate),[Hardcoded — no control] Maximum aliases the LLM planner is allowed to return. If the LLM response contains more than 12 aliases the extras are silently dropped during normalization. Prevents runaway alias generation.
Phase 02,LLM doc_hint_queries Cap,3 per hint (hardcoded validation gate),[Hardcoded — no control] Maximum queries per document hint category (spec/manual/pdf/datasheet). Prevents the LLM from generating too many redundant document-type queries for the same hint.
Phase 02,LLM field_target_queries Cap,3 per field (hardcoded validation gate),[Hardcoded — no control] Maximum queries targeting a single missing field. Prevents the LLM from over-investing search budget on a single hard-to-find field.
Phase 02,Dedupe Queries Cap,24 (hardcoded in queryBuilder.js),[Hardcoded — no control] Maximum total unique queries after deduplication. All query sources (deterministic aliases + LLM hints + field targets) are merged and deduped down to this cap. Controls the total search budget per round.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PHASE 03 — Provider Search & SERP Triage,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Phase 03,SEARCH_PROVIDER,none (env + GUI: Indexing → Search Provider dropdown),[GUI: Indexing Runtime → Search Provider dropdown] Primary search provider for web queries. Options: none (disabled) / duckduckgo / searxng / bing / google / dual. 'dual' uses two providers for broader coverage. Setting to 'none' disables all web search — pipeline relies on seed URLs only.
Phase 03,SEARXNG_BASE_URL,empty string (env: SEARXNG_BASE_URL or SEARXNG_URL),[Backend only — no GUI control] URL of the self-hosted SearXNG metasearch instance. Required when search provider is 'searxng'. Typically http://localhost:8080. No GUI input field exists for this URL.
Phase 03,GOOGLE_CSE_KEY,(env: GOOGLE_CSE_KEY),[Backend only — no GUI control] Google Custom Search Engine API key. Required for Google CSE provider. Not exposed in GUI for security — set via environment variable only.
Phase 03,GOOGLE_CSE_CX,(env: GOOGLE_CSE_CX),[Backend only — no GUI control] Google Custom Search Engine ID. Identifies which custom search engine to query. Not exposed in GUI.
Phase 03,BING_SEARCH_KEY,(env: BING_SEARCH_KEY),[Backend only — no GUI control] Bing Search API key. Required when search provider is 'bing'. Not exposed in GUI for security.
Phase 03,BING_SEARCH_ENDPOINT,(env: BING_SEARCH_ENDPOINT),[Backend only — no GUI control] Bing Search API endpoint URL. Usually the default Azure endpoint. Not exposed in GUI.
Phase 03,DISABLE_GOOGLE_CSE,false (env: DISABLE_GOOGLE_CSE),[Backend only — no GUI control] Emergency kill switch to disable Google CSE entirely. Useful when CSE quota is exhausted. Does not appear in GUI.
Phase 03,CSE_RESCUE_ONLY_MODE,true (env: CSE_RESCUE_ONLY_MODE),[Backend only — no GUI control] When true Google CSE is only used as a rescue fallback (not primary search). CSE is expensive per query so this reserves it for situations where the primary provider fails. When false CSE is used alongside primary provider.
Phase 03,CSE_RESCUE_REQUIRED_ITERATION,2 (env: CSE_RESCUE_REQUIRED_ITERATION),[Backend only — no GUI control] Which iteration/round triggers CSE rescue activation. At iteration 2 if primary search yields insufficient results CSE is tried as backup. Lower values rescue earlier but use more CSE quota.
Phase 03,DUCKDUCKGO_ENABLED,true (env: DUCKDUCKGO_ENABLED),[Backend only — no GUI control] Enable DuckDuckGo as a search provider. DDG is free and requires no API key. Used as default search when no paid provider is configured.
Phase 03,DUCKDUCKGO_BASE_URL,https://html.duckduckgo.com/html/ (env: DUCKDUCKGO_BASE_URL),[Backend only — no GUI control] Base URL for DuckDuckGo HTML search. Uses the HTML endpoint for easy scraping. Not exposed in GUI.
Phase 03,DUCKDUCKGO_TIMEOUT_MS,8000 (env: DUCKDUCKGO_TIMEOUT_MS),[Backend only — no GUI control] Timeout in milliseconds for DuckDuckGo search requests. 8 seconds is the default. Increase if DDG is slow; decrease if you want faster timeouts.
